Date,Region,Asset,Production,Operating_Cost,Downtime_Hours,Risk_Score,Latitude,Longitude
2026-01-01,North,Plant_A,820,410000,18,42,-12.80,28.20
2026-02-01,North,Plant_A,845,405000,12,38,-12.80,28.20
2026-03-01,North,Plant_A,790,430000,27,57,-12.80,28.20
2026-01-01,South,Plant_B,760,385000,14,35,-15.40,28.32
2026-02-01,South,Plant_B,780,390000,16,39,-15.40,28.32
2026-03-01,South,Plant_B,805,398000,11,31,-15.40,28.32
2026-01-01,West,Plant_C,690,370000,31,64,-13.00,25.85
2026-02-01,West,Plant_C,715,376000,24,55,-13.00,25.85
2026-03-01,West,Plant_C,735,380000,19,48,-13.00,25.85

